TEAMLEAGUE_ID,TEAMLEAGUE_TEAM,TEAMLEAGUE_LEAGUE,TEAMLEAGUE_POINTS,TEAMLEAGUE_SEASON
1,1,1,0,3
2,1,2,0,3
3,1,3,0,3
4,1,4,0,3
5,2,1,0,3
6,2,2,0,3
7,2,3,0,3
8,2,4,0,3
9,3,1,0,3
10,3,2,0,3
11,3,3,0,3
12,3,4,0,3
13,4,1,0,3
14,4,2,0,3
15,4,3,0,3
16,4,4,0,3
17,5,1,0,3
18,5,2,0,3
19,5,3,0,3
20,5,4,0,3
21,6,1,0,3
22,6,2,0,3
23,6,3,0,3
24,6,4,0,3
25,7,1,0,3
26,7,2,0,3
27,7,3,0,3
28,7,4,0,3
29,8,1,0,3
30,8,2,0,3
31,8,3,0,3
32,8,4,0,3
33,9,1,0,3
34,9,2,0,3
35,9,3,0,3
36,9,4,0,3
37,10,1,0,3
38,10,2,0,3
39,10,3,0,3
40,10,4,0,3
41,11,1,0,3
42,11,2,0,3
43,11,3,0,3
44,11,4,0,3
45,12,1,0,3
46,12,2,0,3
47,12,3,0,3
48,12,4,0,3
